name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"adolph-am-ersten-mai","ger000569","Q111795417","Adolph","0","Am ersten Mai","Eine Tragikomödie der Arbeit aus Friedenstagen","","https://www.projekt-gutenberg.org/adolph/am1mai/index.html","","","","","1919","7","false","0.738095238095238","0.6190476190476191","1.380952380952381","mieter","3.7142857142857144","2","1920","1919","6","7","2","5","0","","1","13","","18","0","0","7696","7438","998","244","2"
"alberti-brot","ger000171","Q51370104","Alberti","0","Brot!","Ein soziales Schauspiel in fünf Akten","","http://www.textgridrep.org/textgrid:jkjf.0","","","","","1888","49","false","0.8497673123239153","0.3129251700680272","1.751700680272109","muenzer","15.020408163265307","3","","1888","40","49","7","24","18","","1","368","1888","36","0","5","28744","26008","1771","797","12"
"alberti-im-suff","ger000041","Q51370930","Alberti","0","Im Suff","Naturalistische Spital-Katastrophe in zwei Vorgängen und einem Nachgang","","http://www.textgridrep.org/textgrid:jkjb.0","","","","","1890","14","false","0.9642857142857143","0.5274725274725275","1.0588235294117647","several characters","6.857142857142857","2","","1890","9","14","3","10","1","","2","48","","4","0","0","12497","11454","4016","365","191"
"andre-der-comoedienfeind","ger000525","Q105436023","André","0","Der Comödienfeind","Ein Lustspiel in einem Aufzuge","Comedy","https://books.google.com/books?id=hOtRhHivrfQC&printsec=frontcover","Weiß","Offenbach am Mayn","1765","","1765","6","false","1","1","1","several characters","5","1","","1765","5","6","2","4","0","","1","15","","9","0","0","5712","5614","552","225","0"
"angely-prinz-tu-ta-tu","ger000576","Q111976082","Angely","0","Prinz Tu-Ta-Tu","Burleske mit Gesang nach Sauvage","Comedy","https://de.wikisource.org/wiki/Prinz_Tu-Ta-Tu","","","","","1835","8","false","0.8904761904761905","0.8214285714285714","1.1785714285714286","chor_volk|gululi","5.75","2","1835","1836","7","8","1","6","1","","1","23","","13","0","0","7873","7416","894","342","124"
"anonym-der-deutsche-student","ger000588","Q112943724","(Anonym)","0","Der deutsche Student","Ein Trauerspiel in fünf Aufzügen","Tragedy","https://books.google.com/books?id=F7XPW3ReAeIC&printsec=frontcover","","","","","1779","20","false","0.6426862026862027","0.17894736842105263","1.9155844155844155","waker","3.4","3","","1779","14","20","3","17","0","","2","34","","25","0","5","5452","5182","310","190","7"
"anzengruber-das-vierte-gebot","ger000129","Q1171707","Anzengruber","0","Das vierte Gebot","Volksstück in vier Akten","","http://www.textgridrep.org/textgrid:jn5z.0","","","","","1877","32","false","0.7734991961858381","0.2903225806451613","1.8528225806451613","martin","9","4","1877","1878","24","32","8","23","1","","1","144","","40","1","4","19774","18773","4092","780","0"
"anzengruber-der-gwissenswurm","ger000120","Q1194083","Anzengruber","0","Der Gwissenswurm","Bauernkomödie mit Gesang in drei Akten","Comedy","http://www.textgridrep.org/textgrid:jn6k.0","","","","","1874","15","false","0.785218855218855","0.4","1.4683544303797469","dusterer","5.6","2","1874","1874","12","15","5","9","1","","2","42","","34","1","3","17114","16392","2269","640","124"
"anzengruber-der-meineidbauer","ger000054","Q1195757","Anzengruber","0","Der Meineidbauer","Volksstück mit Gesang in drei Akten","","http://www.textgridrep.org/textgrid:jn65.0","","","","","1871","22","false","0.8339703226066862","0.2597402597402597","2.038961038961039","vroni","5.454545454545454","4","1871","1871","14","22","10","12","0","","1","60","","26","1","3","24566","23650","2756","556","73"
"anzengruber-der-pfarrer-von-kirchfeld","ger000337","Q5261190","Anzengruber","0","Der Pfarrer von Kirchfeld","Volksstück mit Gesang in vier Akten","","http://www.textgridrep.org/textgrid:jn73.0","","","","","1870","22","false","0.778463455736183","0.4025974025974026","1.748917748917749","schulmeister","8.454545454545455","3","1870","1871","18","22","3","14","5","","1","93","1869","26","1","4","22589","21372","2473","626","68"
